emp_no,first_name,last_name,title,from_date,salary,rn
69821,Francoise,Birdsall,Engineer,1986-12-10,63360,1
69829,Akhilish,Koprowski,Engineer,1990-05-27,60061,1
69835,Deborah,Birdsall,Assistant Engineer,1987-05-04,40000,1
69845,Kinh,Tanemo,Senior Engineer,1996-10-12,40915,1
69874,Doohun,Menyhert,Technique Leader,1997-09-03,48291,1
69888,Billur,Speel,Technique Leader,1988-06-06,61912,1
69897,Stamatina,Kamber,Senior Staff,1985-11-11,69176,1
69928,Abdelkader,Nourani,Senior Staff,2002-04-23,40000,1
69932,Surveyors,Stenning,Engineer,1998-08-18,60208,1
69940,Gonzalo,Mattern,Staff,1998-02-04,55119,1
69946,Theirry,Varker,Engineer,1995-10-14,59124,1
69960,Lein,Sooriamurthi,Engineer,1989-07-22,60283,1
69982,Sanjoy,Lindqvist,Senior Staff,1985-04-26,64773,1
69987,Shem,Collette,Senior Staff,1986-10-08,48372,1
69993,Anwar,Silva,Staff,2000-01-25,92674,1
70004,Shih,VanScheik,Senior Staff,1985-04-15,40000,1
70023,Bodh,Plotkin,Senior Engineer,1990-03-14,55500,1
70027,Manton,Schieder,Engineer,1995-04-05,68244,1
70032,Guttorm,Oppitz,Senior Staff,1987-08-25,40000,1
70040,Along,Montemayor,Engineer,1985-12-07,40000,1
70049,Dipankar,Domenig,Engineer,1988-05-31,69502,1
70059,Valeri,Tiemann,Senior Staff,1986-09-26,53435,1
70068,Noritoshi,Beidas,Senior Staff,1992-01-19,40000,1
70077,Vesna,Panienski,Technique Leader,1987-02-06,64626,1
70087,Ronghao,Lemarechal,Senior Staff,1997-11-29,99976,1
70090,Oldrich,Anandan,Senior Staff,1993-03-06,49598,1
70091,Vasilii,Haldar,Senior Staff,1992-11-01,54441,1
70105,Van,Hardjono,Senior Engineer,1994-04-26,40000,1
70117,Arie,Bail,Engineer,1998-05-31,40848,1
70132,Gal,Manders,Staff,1997-07-18,95614,1
70146,Tiina,Atrawala,Senior Engineer,1985-07-19,40000,1
70162,Danai,Wrigley,Engineer,1987-09-30,46920,1
70164,Ult,Bergere,Engineer,1993-05-20,52833,1
70171,Sadun,Himler,Engineer,1988-02-07,57201,1
70172,Toshimo,Beerel,Engineer,1987-02-16,40000,1
70180,Renee,Cichocki,Senior Staff,1986-12-29,92488,1
70190,Zeljko,Luiz,Technique Leader,1987-10-22,45201,1
70197,Nishit,Fritzsche,Senior Engineer,1992-10-28,40000,1
70217,Aksel,Iivonen,Senior Staff,2001-12-16,42181,1
70218,Stabislas,Luga,Senior Staff,1986-05-28,47206,1
70219,Ramzi,Suessmith,Engineer,1987-07-14,40000,1
70239,Cedric,McFarlin,Engineer,1985-12-10,40000,1
70250,Erez,Arlazarov,Staff,1997-08-24,57701,1
70270,Zsolt,Cusworth,Engineer,1989-12-02,50362,1
70287,Nimmagadda,McConalogue,Senior Staff,1987-04-30,73983,1
70296,Nalini,Vadhan,Engineer,1985-08-12,55852,1
70310,Neven,Ranai,Staff,1996-08-03,56415,1
70311,Abdelaziz,Kugler,Senior Staff,1987-02-16,40000,1
70350,Kwun,Swen,Senior Staff,1988-12-30,40000,1
70354,Minghong,Gammage,Engineer,1997-10-14,53220,1
70374,Girolamo,Macedo,Engineer,1991-01-25,41652,1
70380,Alassane,Denos,Staff,1994-12-18,73598,1
70386,Guiseppe,Mamelak,Engineer,1985-11-27,69504,1
70400,Srinidhi,Lorcy,Senior Staff,1986-01-29,44349,1
70421,Amstein,Birke,Senior Engineer,1987-12-23,40000,1
70422,Zine,Krichel,Senior Engineer,1994-03-19,40000,1
70425,Mechthild,Businaro,Staff,1994-05-16,72233,1
70426,Gilbert,Hanratty,Engineer,1988-01-12,51517,1
70465,Kien,Ligten,Engineer,1987-06-10,45067,1
70478,Basil,Peac,Senior Engineer,1985-06-13,73943,1
70485,Sachio,Mondadori,Engineer,1985-08-21,47724,1
70502,Jiann,Weedon,Senior Staff,1990-05-16,69595,1
70514,Christoper,Highland,Engineer,1988-01-22,40000,1
70516,Danny,Mamelak,Senior Staff,1988-11-20,47946,1
70519,Mohammad,Aingworth,Engineer,1997-09-08,40000,1
70528,Khun,Gimarc,Staff,2000-11-16,40000,1
70530,Qunsheng,Stille,Assistant Engineer,1992-05-02,40000,1
70535,Dante,Speel,Staff,1999-02-07,66634,1
70540,Vasilis,Ullian,Senior Staff,1988-01-30,40000,1
70550,Maren,Ressouche,Senior Staff,1991-02-02,52105,1
70563,Naraig,Klerer,Staff,1998-10-19,51917,1
70564,Supot,Chiola,Engineer,1986-03-05,43784,1
70565,Fumiya,Bergere,Engineer,1989-04-14,71073,1
70571,Randy,Sooriamurthi,Senior Staff,1987-09-17,70241,1
70573,Janalee,Chachaty,Senior Staff,1996-05-04,40000,1
70579,Seshu,Polajnar,Engineer,1998-06-07,40000,1
70584,Arun,Flasterstein,Senior Engineer,1995-03-01,48182,1
70602,Hongzhu,Maquelin,Engineer,1993-07-18,40000,1
70614,Nevio,Furedi,Engineer,1985-04-12,41854,1
70629,Shay,DiGiano,Senior Staff,1988-12-27,67352,1
70659,Kauko,Domenig,Senior Staff,1986-05-08,72170,1
70661,Leni,Bernardinello,Engineer,1990-08-02,42872,1
70666,Ronghao,Veeraraghavan,Senior Staff,1988-06-10,73226,1
70675,Edwin,Avouris,Senior Staff,1991-06-03,74785,1
70679,Aluzio,Hagimont,Senior Staff,1992-04-18,40000,1
70720,Hidefumi,Denny,Senior Staff,1988-07-14,45176,1
70722,Maren,Sudbeck,Senior Staff,1988-09-02,54960,1
70735,Shaowei,Spataro,Assistant Engineer,1990-10-08,58619,1
70738,Shaleah,Kemmerer,Staff,1995-08-24,40000,1
70739,Przemyslawa,Kakkar,Staff,1998-08-29,86752,1
70743,Matk,Genin,Assistant Engineer,1994-06-20,42520,1
70751,Danil,Heusch,Engineer,1991-08-08,43677,1
70752,Vugranam,Chiola,Engineer,1990-10-13,49152,1
70763,Jahangir,Lorch,Senior Engineer,1985-07-08,48966,1
70767,Hinrich,Gewali,Engineer,1999-12-02,47511,1
70785,Jiakeng,Swan,Engineer,1987-05-16,66286,1
70787,Reinhard,Masaki,Senior Staff,1985-10-17,51605,1
70791,Aamod,Avouris,Engineer,1989-09-24,51105,1
70797,Alejandro,Tiemann,Engineer,1987-08-28,59670,1
70809,Premal,Welham,Senior Engineer,1992-08-16,41873,1
70810,Vishwani,Brodal,Senior Staff,1995-04-01,40000,1
70824,Kauko,Mawatari,Staff,1990-10-22,57491,1
70830,Jiakeng,Maksimenko,Senior Staff,1991-03-28,40000,1
70877,Prasadram,Weiland,Engineer,1994-03-06,50487,1
70887,Tsutomu,Bratten,Technique Leader,1987-02-09,60059,1
70898,Ranan,Radhakrishnan,Engineer,1987-01-01,55809,1
70914,Dinah,Antonisse,Senior Staff,1988-07-10,72054,1
70919,Anwar,Casley,Assistant Engineer,1986-10-06,51782,1
70956,Almudena,Genther,Assistant Engineer,1985-10-05,50155,1
70964,Berhard,Seghrouchni,Technique Leader,1988-06-23,40000,1
70970,Yuuichi,Vesna,Engineer,1986-03-31,48253,1
70982,Rasikan,Kamber,Engineer,1999-02-09,40000,1
71041,Frazer,Borovoy,Engineer,1988-11-24,47442,1
71057,Christfried,Orsini,Senior Staff,1987-06-23,101420,1
71060,Suebskul,Tokunaga,Senior Staff,1990-12-02,60131,1
71076,Huei,Rosca,Senior Staff,1987-08-22,57052,1
71099,Adly,Azevdeo,Engineer,1986-07-03,40000,1
71100,Taisook,Karnin,Assistant Engineer,1986-01-07,45296,1
71102,Indrajit,Juneja,Staff,1997-11-23,40000,1
71113,Anwar,Atrawala,Senior Staff,1986-06-06,40000,1
71114,Jagoda,Kakkar,Engineer,1988-08-01,44737,1
71118,Chirstian,Tasistro,Senior Staff,1985-08-07,72570,1
71120,Kerryn,Marchegay,Staff,1999-12-02,40000,1
71121,Aris,Atrawala,Staff,1997-11-19,40000,1
71127,Annemarie,Belinskaya,Staff,1993-10-16,43847,1
71128,Selwyn,Dolinsky,Senior Engineer,1989-08-23,48269,1
71130,Khalid,Jervis,Senior Engineer,1991-04-01,50797,1
71167,Sham,Gimbel,Senior Staff,1990-11-07,49432,1
71194,Fox,Lampe,Engineer,1985-05-21,57280,1
71214,Kiyomitsu,Toyoshima,Engineer,1987-01-19,44791,1
71220,Nadjib,Peek,Engineer,1990-07-11,57703,1
71246,Toshimitsu,Paludetto,Senior Staff,1992-01-11,74992,1
71255,Mrinalini,Halloran,Senior Engineer,1992-03-30,40000,1
71262,Shigenori,Vecchio,Staff,1997-06-11,40000,1
71263,Suvo,Farrar,Staff,1989-03-13,40491,1
71268,Remko,Dalphin,Senior Staff,1985-03-01,73530,1
71270,Saeko,Crooks,Senior Staff,1987-05-28,47347,1
71300,Deborah,Beilner,Senior Staff,1986-09-18,51618,1
71302,Zhenbing,Heiserman,Engineer,1993-01-20,64704,1
71307,Tadahiro,Bade,Senior Staff,1986-04-24,51158,1
71320,Xuejia,Caine,Senior Staff,1985-05-25,40000,1
71323,Shunichi,Brizzi,Assistant Engineer,1987-07-20,40000,1
71341,Seongbin,Tetzlaff,Assistant Engineer,1988-04-29,40000,1
71351,Otmar,Guerreiro,Senior Staff,1993-09-23,62773,1
71362,Cathie,Mellouli,Senior Staff,1987-12-20,57793,1
71365,Remzi,Bratsberg,Engineer,1992-06-09,42694,1
71375,Masoud,Khamsi,Staff,1988-12-23,80332,1
71383,Vidya,Ohori,Senior Staff,1986-05-30,40000,1
71391,Youjian,Morris,Senior Staff,1994-11-13,40000,1
71398,Sanjeeva,Krohn,Senior Staff,1994-11-06,60539,1
71399,Kasturi,Rodier,Engineer,1988-06-14,59780,1
71405,Shuzo,Miake,Engineer,1985-05-05,40000,1
71416,Jayson,Demir,Senior Engineer,1993-02-02,40000,1
71420,Oksana,Schnelling,Assistant Engineer,1987-02-20,48164,1
71424,Vishu,Kroha,Senior Engineer,1999-08-07,40000,1
71451,Munenori,Chelton,Senior Staff,1989-10-18,77024,1
71458,Kazuhiro,Welham,Engineer,1995-03-23,40000,1
71463,Ferdinand,Lagarias,Staff,1996-10-29,40000,1
71471,Bernice,Peak,Engineer,2002-05-06,50095,1
71472,Bingning,Irland,Technique Leader,1986-04-26,41419,1
71478,Margo,Schahn,Senior Staff,1993-10-15,63822,1
71490,Yannis,Vieri,Senior Staff,1995-04-18,63239,1
71501,Nagui,Yurek,Senior Engineer,1987-06-12,40000,1
71503,Chinhyun,Plumb,Senior Staff,1987-12-08,69799,1
71509,Ioana,Feinberg,Engineer,1988-01-29,49888,1
71522,Randi,Flasterstein,Engineer,1987-07-28,40000,1
71528,Marjo,Deverell,Engineer,2001-08-19,48609,1
71535,Cristinel,Falco,Engineer,1987-03-14,40000,1
71541,Kwangsub,Chartres,Senior Staff,1985-12-31,70697,1
71545,Denny,Nittel,Senior Staff,1995-04-07,47637,1
71586,Jianwen,Cannard,Senior Staff,1985-10-02,58628,1
71588,Junichi,Colorni,Senior Staff,1992-08-24,66211,1
71590,Irene,Beerel,Senior Engineer,1988-08-17,40000,1
71592,Kitty,Rusterholz,Senior Staff,1994-04-19,40000,1
71598,Jianhua,Osgood,Senior Staff,1987-10-06,67264,1
71603,Susanta,Hanratty,Senior Staff,1988-10-09,40000,1
71609,Berthier,Manderick,Senior Staff,1985-04-10,40000,1
71627,Aria,Ranta,Senior Staff,1986-04-24,44908,1
71644,Bogdan,Azuma,Staff,1985-11-01,40000,1
71674,Udo,Huxford,Engineer,1987-12-24,40000,1
71678,Kiyokazu,Schapire,Engineer,1986-02-08,40000,1
71683,Sastry,Hedayat,Engineer,1999-11-17,40000,1
71690,Annemarie,Steinauer,Engineer,1991-10-26,40000,1
71699,Ingemar,Tramer,Senior Staff,1992-03-05,57349,1
71706,Van,Murtha,Technique Leader,1986-02-04,40000,1
71715,Eberhardt,Niizuma,Senior Staff,1985-08-19,70566,1
71722,Marco,Lally,Engineer,1990-10-09,40000,1
71725,Kannan,Yurek,Engineer,1995-09-27,40000,1
71729,Jongsuk,Rosch,Technique Leader,1986-04-04,44787,1
71732,Arra,Highland,Engineer,2000-04-12,50205,1
71750,Berhard,Eppinger,Engineer,1988-08-04,40000,1
71754,Leen,Hebden,Engineer,1992-03-04,44476,1
71758,Munehiko,Frijda,Senior Engineer,1988-08-08,47473,1
71773,Leen,Ebeling,Staff,1985-12-29,57105,1
71779,Hironoby,Cooman,Engineer,1996-08-30,69098,1
71780,DeForest,Honglei,Engineer,1986-12-28,48508,1
71788,Reinhard,Verspoor,Senior Staff,1996-08-22,40000,1
71791,Bedrich,Lalonde,Engineer,1994-03-04,47195,1
71796,Magdalena,Rijckaert,Staff,1999-09-13,59330,1
71810,Hideo,Ertl,Staff,1988-12-30,75775,1
71812,Younwoo,Cooman,Senior Staff,1986-04-10,60363,1
71823,Kasidit,Linnainmaa,Technique Leader,1987-03-04,44612,1
71826,Chandrasekaran,Brickell,Senior Staff,1990-11-09,74771,1
71837,Munehiro,Babb,Engineer,1989-09-06,46476,1
71839,Owen,Hasenauer,Engineer,1998-02-17,40000,1
71842,Bluma,Cummings,Senior Staff,1992-12-28,68393,1
71847,Seshu,Kadhim,Senior Staff,1991-12-25,82438,1
71855,Lein,Luef,Technique Leader,1986-09-11,42783,1
71864,Martina,Bellone,Engineer,1988-11-04,62512,1
71869,Elzbieta,Puoti,Technique Leader,1993-09-06,40000,1
71871,Kien,Molenkamp,Senior Staff,1986-10-31,78892,1
71889,Tristan,Hennebert,Engineer,1996-10-17,54736,1
71894,Guther,Munawer,Senior Engineer,1987-09-17,40000,1
71896,Magdalena,Zobel,Senior Staff,1988-03-21,76759,1
71901,Josyula,Halloran,Assistant Engineer,1987-12-16,55901,1
71913,Tooru,Feinberg,Technique Leader,1988-11-19,59759,1
71914,Navid,Uludag,Senior Engineer,1988-05-27,40000,1
71915,Goh,Jakobus,Staff,1999-04-30,54007,1
71923,Jayesh,Kavanagh,Technique Leader,1986-04-03,48573,1
71930,Lech,Etalle,Senior Staff,1992-11-24,70507,1
71948,Angel,Bonifati,Engineer,1996-05-30,40000,1
71960,Teunis,Karnin,Senior Staff,1990-08-06,77327,1
71962,Mohamadou,Thorelli,Engineer,1987-11-21,70489,1
71979,Sugwoo,Kropp,Senior Staff,2001-08-27,61631,1
71980,Stamatina,Compeau,Assistant Engineer,1988-12-24,45916,1
71984,Fei,Thiria,Engineer,1995-10-10,40000,1
71985,Kristina,Emmart,Senior Engineer,1988-03-11,55891,1
71990,Supot,Thiran,Senior Staff,1985-11-16,50900,1
71993,Bernd,Caine,Senior Staff,1985-08-24,40000,1
71998,Pranas,Lovengreen,Assistant Engineer,1993-03-26,54808,1
72003,Kamakshi,Besselaar,Senior Engineer,1987-09-06,40000,1
72004,Macha,Undy,Engineer,1986-02-04,56988,1
72008,Soenke,Wrigley,Engineer,1996-12-27,40000,1
72013,Lene,Beilner,Staff,1987-06-10,40000,1
72015,Reuven,Trystram,Staff,1998-06-06,45661,1
72024,Takahiro,Wolniewicz,Engineer,1994-06-25,55427,1
72026,Wilmer,Pesch,Engineer,1989-07-31,40000,1
72028,Marsja,Szemeredi,Engineer,1988-02-25,53297,1
72031,Nagui,Makrucki,Senior Staff,1988-01-23,65794,1
72071,Bilhanan,Rullman,Senior Staff,1990-01-24,71314,1
72074,Mahmut,Chinal,Senior Staff,1988-02-22,56546,1
72077,Reuven,Juneja,Senior Staff,1987-04-30,56420,1
72078,Olivera,Limongiello,Engineer,1986-11-27,70428,1
72085,Sverrir,Ishibashi,Engineer,1988-02-19,40000,1
72087,Teiji,Chartres,Engineer,1997-03-19,40000,1
72092,Alper,Zaumen,Engineer,1988-06-08,40798,1
72097,Almudena,Perng,Senior Staff,1985-07-08,40000,1
72116,Lalit,Quadeer,Engineer,1996-05-08,40000,1
72137,Dulce,Bodoff,Senior Engineer,1987-07-01,40000,1
72140,Christ,Cronau,Senior Engineer,2000-10-26,49434,1
72145,Zdislav,Neimat,Senior Engineer,1985-07-15,54268,1
72160,Sugwoo,Scharstein,Staff,1998-04-08,51261,1
72207,Wuxu,Marsiglia,Senior Staff,1986-11-21,62275,1
72211,Apostol,Murrill,Engineer,1985-08-15,59170,1
72216,Serif,Rebaine,Staff,1997-10-09,78666,1
72248,Kamran,Rindone,Engineer,1987-11-29,40810,1
72262,Shahab,Braunmuhl,Engineer,1985-11-18,40000,1
72264,Alain,Bale,Engineer,1987-05-24,40000,1
72281,Sariel,Uhrik,Engineer,1996-07-08,53176,1
72284,Radhakrishnan,Mondadori,Staff,1999-03-04,40000,1
72298,Lenore,Glinert,Assistant Engineer,1994-01-29,47705,1
72307,Genta,Asser,Engineer,1988-05-10,69455,1
72338,Sreekrishna,Gubsky,Senior Engineer,1986-11-04,56018,1
72343,Make,Bodoff,Technique Leader,1988-02-13,44312,1
72357,Kristina,Krogh,Technique Leader,1999-12-07,59424,1
72383,Gianluca,Sidou,Technique Leader,1987-02-24,47128,1
72387,Taiji,Zeilberger,Engineer,1997-02-22,40000,1
72389,Xuejun,Piancastelli,Engineer,1988-10-09,72799,1
72397,Shigeu,Einsfeld,Engineer,1986-08-28,49929,1
72398,Dines,Gulla,Senior Staff,1993-09-21,40000,1
72400,Charmane,Merel,Senior Staff,1993-04-19,40000,1
72434,Snehasis,Lueh,Assistant Engineer,1994-09-29,40000,1
72448,Lena,Assaf,Staff,1996-11-11,53671,1
72451,Xiong,Stamatiou,Senior Engineer,1991-11-05,44339,1
72478,Rosli,Motley,Senior Staff,1990-04-24,40000,1
72485,Hidefumi,Christianini,Senior Staff,1986-05-21,44347,1
72486,Irena,Brickell,Engineer,1987-06-08,40000,1
72497,Kwangjo,McAlpine,Engineer,1988-05-14,40000,1
72510,Miomir,Tomescu,Engineer,1988-07-07,69792,1
72513,Juichirou,Talmon,Engineer,1995-04-06,48057,1
72522,Insup,Katzenelson,Engineer,1985-02-25,40000,1
72551,Bedir,Impagliazzo,Engineer,1995-03-20,42410,1
72566,Munehiro,Schaaf,Engineer,1985-11-22,40000,1
72569,Katsuyuki,Halevi,Engineer,1999-09-11,51848,1
72571,Yurij,Cools,Engineer,1988-09-18,53380,1
72574,Saeed,Carrere,Engineer,1985-09-09,56518,1
72586,Jiong,Usery,Engineer,1993-12-16,40000,1
72587,Krister,Angel,Senior Staff,1985-07-26,77778,1
72598,Bogdan,Vural,Engineer,1985-11-12,45158,1
72617,Naraig,Worfolk,Senior Staff,1987-11-16,40000,1
72625,Moti,Nyanchama,Engineer,1997-01-20,48362,1
72627,Apostol,Conry,Engineer,1999-01-08,51665,1
72634,Xuedong,Thiran,Senior Staff,1998-10-05,43347,1
72639,Jiang,Angel,Senior Staff,1988-09-27,42552,1
72646,Elgin,Tchuente,Assistant Engineer,1988-02-20,50608,1
72661,Dinah,Baja,Senior Staff,1986-10-23,52915,1
72683,Tristan,Frolund,Senior Engineer,1998-10-18,40000,1
72686,Radoslaw,Marakhovsky,Senior Engineer,1985-07-12,40711,1
72723,Arve,Danlos,Senior Staff,1999-06-14,79591,1
72725,Jayesh,Felder,Senior Engineer,1988-06-24,61650,1
72739,Constantino,Sinicrope,Engineer,1990-06-16,40000,1
72740,Heather,Greenaway,Staff,1985-04-07,54802,1
72741,Ulises,Range,Staff,1997-05-18,46867,1
72745,Tayeb,Vernadat,Senior Engineer,1987-07-08,40536,1
72752,Kensyu,Gente,Senior Engineer,1991-05-15,69936,1
72761,Arto,Schlegelmilch,Senior Staff,1986-01-05,89178,1
72768,Sajjad,Kolvik,Engineer,1998-06-04,40000,1
72794,Kazuhisa,Awdeh,Senior Staff,1990-03-16,66449,1
72797,Dmitry,Luders,Senior Staff,1985-06-04,71156,1
72799,Akeel,Usdin,Senior Engineer,1988-06-03,54368,1
72826,Pranas,Kuhnemann,Engineer,1987-08-10,55916,1
72836,Sadun,Baez,Senior Staff,1987-10-09,47344,1
72861,Chirstian,Pramanik,Senior Engineer,1986-12-26,40000,1
72863,Mohd,Kavvadias,Staff,1985-10-17,50670,1
72864,Moie,McConalogue,Engineer,1991-04-18,40000,1
72866,Sverrir,Zumaque,Senior Staff,1995-11-19,79179,1
72885,Yinghua,Coullard,Technique Leader,1987-03-17,54456,1
72891,Florina,Heusch,Senior Engineer,1994-01-11,40000,1
72897,Faiza,Leslie,Senior Engineer,1987-11-13,46015,1
72898,Thanasis,Gurbaxani,Senior Staff,1994-11-12,74007,1
72907,Alejandra,Weisert,Staff,1999-11-20,40000,1
72916,Arun,Kitsuregawa,Staff,1999-09-28,53222,1
72917,Paris,Swan,Senior Staff,1989-01-05,44500,1
72920,Dekang,Radivojevic,Senior Staff,1998-07-08,83480,1
72922,Kristian,DasSarma,Staff,1993-09-28,73729,1
72923,Zhenbing,Decaestecker,Assistant Engineer,1985-05-01,40000,1
72928,Xiahua,Rosay,Senior Staff,1989-04-21,48666,1
72943,Collette,Angot,Senior Staff,1987-03-07,65449,1
72959,Rosita,Wynblatt,Senior Staff,1989-06-15,40000,1
72963,Hugh,Butner,Assistant Engineer,1986-12-07,46569,1
72967,Menkae,Brobst,Staff,1997-01-21,83228,1
72969,Xinan,Setia,Staff,1999-09-22,78665,1
72977,Shahid,Servi,Staff,1997-01-17,63794,1
72981,Chanjung,Imataki,Senior Staff,1988-01-16,85699,1
72986,Nikolaos,Worfolk,Engineer,1987-07-11,40000,1
72996,Petter,Castellani,Engineer,1988-06-04,40000,1
73004,Mitchel,Ballarin,Senior Engineer,1988-06-13,61260,1
73005,Sachem,Compeau,Technique Leader,1990-06-12,50521,1
73011,Zdislav,Kaiserswerth,Engineer,1989-09-12,40000,1
73017,Adel,Iisaka,Assistant Engineer,1996-01-02,59529,1
73035,Kensyu,Cummings,Senior Staff,1995-11-10,78429,1
73036,Syozo,Koyama,Senior Staff,1986-11-23,90889,1
73063,Nigel,Highland,Senior Staff,1988-05-31,40000,1
73072,Vitali,Zwicker,Assistant Engineer,1989-05-18,45592,1
73082,Ioana,Sadowski,Engineer,1988-01-03,60366,1
73090,Yoshinari,Takkinen,Senior Staff,1985-03-27,48393,1
73099,Percy,Strandh,Assistant Engineer,1999-04-11,40000,1
73104,Mooi,Bressoud,Senior Engineer,1988-09-24,40000,1
73109,Divine,Pusterhofer,Engineer,1987-08-15,40000,1
73110,Gift,Osgood,Technique Leader,1987-07-12,56048,1
73111,Ottavia,Massonet,Technique Leader,1985-06-08,43571,1
73119,Miyeon,Kavraki,Senior Engineer,1988-05-18,49013,1
73137,Manohar,Lortz,Senior Engineer,1992-05-28,68030,1
73142,Gretta,VanScheik,Senior Engineer,2001-09-06,58376,1
73143,Sreekrishna,Cincotta,Engineer,1991-04-22,40000,1
73161,Haldon,Denos,Assistant Engineer,1985-08-09,52403,1
73194,Perry,Castellani,Staff,1988-05-16,46686,1
73207,Kyoichi,Domenig,Technique Leader,1987-11-15,40000,1
73208,Yuguang,Menhardt,Senior Staff,1988-05-19,45903,1
73212,Niclas,Maraist,Senior Staff,1999-04-27,40000,1
73220,Mokhtar,Serre,Staff,1989-04-22,40000,1
73222,Kendra,Gurbaxani,Assistant Engineer,1985-02-22,40000,1
73225,Mana,Swick,Engineer,1998-01-25,44581,1
73237,Sanjoy,Bonifati,Senior Staff,1987-01-31,71930,1
73283,Shen,Leaver,Engineer,1996-02-11,55758,1
73305,Heon,Lambe,Senior Engineer,1987-11-15,40000,1
73318,Elliott,Highland,Assistant Engineer,1989-11-04,40000,1
73322,Atreye,Tomescu,Senior Staff,1996-04-13,81800,1
73336,Zhongwei,Molenkamp,Senior Staff,1991-01-01,98099,1
73339,Leni,Kamble,Senior Engineer,1988-09-11,58140,1
73350,Takahira,Daescu,Engineer,1987-07-09,88266,1
73352,Boutros,Fortenbacher,Engineer,1985-05-01,40000,1
73355,Kannan,Rotem,Engineer,1996-10-12,49429,1
73364,Wayne,Gaughan,Engineer,1988-12-26,40000,1
73375,Aiichiro,Kragelund,Staff,2000-01-15,55932,1
73387,Noritoshi,Axelband,Senior Staff,1985-02-22,66306,1
73389,IEEE,Sherertz,Staff,1995-09-07,61335,1
73390,Ishfaq,Beutelspacher,Engineer,1988-12-04,64348,1
73395,Jouko,Tsukune,Engineer,1987-12-15,69171,1
73400,Billur,Heemskerk,Engineer,1990-01-21,61259,1
73406,Basil,Tomescu,Engineer,1985-08-04,54965,1
73409,Denis,Biros,Engineer,1986-02-25,40000,1
73415,Renny,Pillow,Senior Staff,1999-10-27,70580,1
73425,Parviz,Aumann,Senior Engineer,1996-03-25,51354,1
73430,Khosrow,Beausoleil,Engineer,1985-06-20,41410,1
73446,Yuguang,Gronowski,Senior Staff,1998-06-26,51562,1
73456,Toney,Azadmanesh,Engineer,1988-12-02,44012,1
73462,Sergi,Pelc,Senior Staff,1990-11-24,83835,1
73465,Susanne,Adachi,Technique Leader,1988-02-20,57800,1
73466,Tzu,Guerreiro,Engineer,1988-05-12,46274,1
73497,Sibyl,Huhdanpaa,Senior Staff,1990-05-22,68016,1
73499,Ult,Ferriere,Senior Staff,1995-10-26,67659,1
73500,Sahrah,Thambidurai,Engineer,1986-01-15,49123,1
73515,Khun,Chelton,Senior Staff,1990-05-18,55181,1
73523,Fei,Parascandalo,Senior Staff,1992-02-04,68413,1
73532,Becky,dAstous,Staff,1999-11-27,58237,1
73539,Renee,Serot,Assistant Engineer,1986-05-08,49459,1
73542,Shigehito,Acton,Senior Staff,1988-07-02,84958,1
73548,Margareta,Pena,Senior Staff,1985-11-15,60839,1
73553,Duro,Botman,Engineer,1993-11-28,40000,1
73559,Masamitsu,Murrill,Senior Staff,1996-02-28,40000,1
73572,Yuuichi,Schapire,Technique Leader,1989-06-17,54670,1
73578,Berna,Rohrbach,Engineer,1996-01-24,50566,1
73595,Nobuyoshi,Vandervoorde,Senior Staff,1985-04-04,45910,1
73601,Aloke,Vasanthakumar,Engineer,1997-12-12,63363,1
73612,Toney,Lienhardt,Senior Staff,1991-02-11,58388,1
73615,Manton,Vecchi,Engineer,1987-08-06,40000,1
73621,Gadiel,Imataki,Senior Staff,1990-02-08,51256,1
73628,Lucien,Riefers,Senior Staff,1987-12-01,58265,1
73635,Roselyn,Desikan,Staff,1996-01-21,52881,1
73636,Macha,Koblitz,Engineer,1997-05-07,40000,1
73644,Eberhardt,Backhouse,Engineer,1999-10-28,92720,1
73655,Aram,Garrabrants,Technique Leader,1994-09-09,41368,1
73673,Chenxi,Yurov,Senior Engineer,1989-02-10,48827,1
73674,Yifei,Jahnichen,Senior Staff,1985-10-21,80999,1
73687,Zito,Bakhtari,Senior Staff,1992-10-24,61054,1
73689,Mansur,Goldhammer,Senior Staff,1985-08-26,50994,1
73726,Elvia,Mawatari,Staff,1999-03-16,40000,1
73733,Takanari,Kusakari,Staff,1989-03-02,61413,1
73734,Zhongwei,Rodite,Staff,1988-07-22,66545,1
73739,Marin,Krohm,Senior Staff,1988-10-20,60709,1
73744,Basil,Baalen,Staff,1997-02-09,48738,1
73756,Moni,Strooper,Engineer,1996-01-06,40000,1
73758,Serenella,Sevcikova,Senior Engineer,1996-07-28,44201,1
73761,Mark,Birge,Senior Staff,1993-04-11,69853,1
73762,Leaf,Tchuente,Engineer,1985-11-29,45234,1
73765,Richara,Gimbel,Engineer,1997-02-10,69223,1
73777,Carrsten,DeMori,Engineer,1999-11-23,44146,1
73782,Janche,Prochazka,Technique Leader,1987-09-29,40000,1
73790,Kazunori,Pepe,Technique Leader,1986-09-11,61447,1
73808,Urs,Skafidas,Engineer,1991-04-13,40000,1
73811,Valeri,Trogemann,Senior Engineer,1987-04-22,44473,1
73812,Shugo,Koblitz,Senior Staff,1988-10-23,70712,1
73817,Nikolaos,Veccia,Senior Staff,1986-09-22,57197,1
73823,Shaibal,Michaels,Senior Staff,1986-03-17,74949,1
73835,Leif,Krupka,Engineer,1993-09-01,83289,1
